Indiv1	Indiv2	relationship type	generation depth	meioses events
7368108	80371752	full	-2	4
7368108	80456332	full	-2	4
7368108	83731901	full	-1	3
7759908	8583938	full	-1	3
7759908	22022286	full	0	2
7759908	22536877	full	-1	3
7759908	24976974	full	-1	3
7759908	48109147	direct	1	1
7759908	54671467	direct	1	1
7759908	64296767	full	-2	4
7759908	65688493	full	0	2
7759908	68088294	full	-2	4
7759908	73300761	full	-2	4
7787507	8599292	direct	1	1
7787507	9015648	full	1	3
7787507	10557364	full	0	4
7787507	13919739	full	0	4
7787507	15064173	full	0	4
7787507	17185590	full	0	2
7787507	20714799	full	-1	5
7787507	23591163	full	0	4
7787507	23625770	full	0	4
7787507	23860559	full	-1	5
7787507	23909602	full	0	4
7787507	24137242	full	0	4
7787507	24344968	direct	2	2
7787507	25036073	full	-1	5
7787507	26555372	full	0	4
7787507	29689879	full	1	3
7787507	29745672	full	0	4
7787507	31977120	full	0	2
7787507	38743500	full	-1	5
7787507	41078192	full	-1	5
7787507	44235976	full	-1	5
7787507	47702028	full	-1	5
7787507	57047768	full	0	2
7787507	60005874	direct	2	2
7787507	60244303	full	0	4
7787507	61700805	full	0	4
7787507	63659993	full	0	2
7787507	66093650	full	1	3
7787507	69134744	full	0	4
7787507	73016220	full	-1	5
7787507	73022914	full	0	2
7787507	73256165	full	1	3
7787507	73441147	full	0	4
7787507	74565681	full	0	4
